"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 31 00:43:32 GMT 2023","Tue Jan 31 00:43:33 GMT 2023","42","","empty spec 1","","","","passes 1",""
"passed","Tue Jan 31 00:43:27 GMT 2023","Tue Jan 31 00:43:27 GMT 2023","33","","empty spec 14","","","","passes 14",""
"failed","Tue Jan 31 00:43:25 GMT 2023","Tue Jan 31 00:43:25 GMT 2023","165","","empty spec 8","","","","passes 8",""
"passed","Tue Jan 31 00:43:30 GMT 2023","Tue Jan 31 00:43:30 GMT 2023","51","","empty spec 5","","","","passes 5",""
"passed","Tue Jan 31 00:43:31 GMT 2023","Tue Jan 31 00:43:31 GMT 2023","35","","empty spec 3","","","","passes 3",""
"skipped","Tue Jan 31 00:43:32 GMT 2023","Tue Jan 31 00:43:32 GMT 2023","4","","empty spec 13","","","","passes 13",""
"passed","Tue Jan 31 00:43:33 GMT 2023","Tue Jan 31 00:43:33 GMT 2023","36","","empty spec 15","","","","passes 15",""
"passed","Tue Jan 31 00:43:29 GMT 2023","Tue Jan 31 00:43:29 GMT 2023","39","","empty spec 4","","","","passes 4",""
"failed","Tue Jan 31 00:43:22 GMT 2023","Tue Jan 31 00:43:23 GMT 2023","214","","empty spec 10","","","","passes 10",""
"passed","Tue Jan 31 00:43:29 GMT 2023","Tue Jan 31 00:43:29 GMT 2023","35","","empty spec 2","","","","passes 2",""
"skipped","Tue Jan 31 00:43:27 GMT 2023","Tue Jan 31 00:43:27 GMT 2023","5","","empty spec 12","","","","passes 12",""
"failed","Tue Jan 31 00:43:18 GMT 2023","Tue Jan 31 00:43:18 GMT 2023","182","","empty spec 11","","","","passes 11",""
"failed","Tue Jan 31 00:43:26 GMT 2023","Tue Jan 31 00:43:26 GMT 2023","180","","empty spec 9","","","","passes 9",""
"failed","Tue Jan 31 00:43:22 GMT 2023","Tue Jan 31 00:43:22 GMT 2023","217","","empty spec 6","","","","passes 6",""
"failed","Tue Jan 31 00:43:24 GMT 2023","Tue Jan 31 00:43:24 GMT 2023","181","","empty spec 7","","","","passes 7",""
